height,gas_grill_small,gas_grill_medium,gas_grill_large,gas_grill_high_output,charcoal_kettle,wood_fired,pellet_smoker_low,pellet_smoker_high
in,fpm,fpm,fpm,fpm,fpm,fpm,fpm,fpm
6,455,508,567,615,290,499,286,473
12,414,467,524,569,268,457,264,429
18,396,453,512,557,286,443,272,406
24,365,417,471,512,262,408,250,374
30,343,392,443,481,246,382,234,351
36,323,370,418,455,233,363,223,331
42,315,363,412,449,215,355,205,327
48,294,337,380,414,211,329,201,301
54,294,341,386,424,201,333,193,305
60,286,331,376,412,197,323,187,297
66,278,323,367,402,191,315,183,290
72,272,315,359,392,187,307,179,282
